title,description,director,year,actors,categories
Guardians of the Galaxy,"title: Guardians of the Galaxy ,Description: A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.",James Gunn,2014,"['chris pratt', ' vin diesel', ' bradley cooper', ' zoe saldana']","['action', 'adventure', 'sci-fi']"
Prometheus,"title: Prometheus ,Description: Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Ridley Scott,2012,"['noomi rapace', ' logan marshall-green', ' michael fassbender', ' charlize theron']","['adventure', 'mystery', 'sci-fi']"
Split,"title: Split ,Description: Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",M. Night Shyamalan,2016,"['james mcavoy', ' anya taylor-joy', ' haley lu richardson', ' jessica sula']","['horror', 'thriller']"
Sing,"title: Sing ,Description: In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",Christophe Lourdelet,2016,"['matthew mcconaughey', 'reese witherspoon', ' seth macfarlane', ' scarlett johansson']","['animation', 'comedy', 'family']"
Suicide Squad,"title: Suicide Squad ,Description: A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",David Ayer,2016,"['will smith', ' jared leto', ' margot robbie', ' viola davis']","['action', 'adventure', 'fantasy']"
The Great Wall,"title: The Great Wall ,Description: European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.",Yimou Zhang,2016,"['matt damon', ' tian jing', ' willem dafoe', ' andy lau']","['action', 'adventure', 'fantasy']"
La La Land,"title: La La Land ,Description: A jazz pianist falls for an aspiring actress in Los Angeles.",Damien Chazelle,2016,"['ryan gosling', ' emma stone', ' rosemarie dewitt', ' j.k. simmons']","['comedy', 'drama', 'music']"
Mindhorn,"title: Mindhorn ,Description: A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",Sean Foley,2016,"['essie davis', ' andrea riseborough', ' julian barratt', 'kenneth branagh']",['comedy']
The Lost City of Z,"title: The Lost City of Z ,Description: A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",James Gray,2016,"['charlie hunnam', ' robert pattinson', ' sienna miller', ' tom holland']","['action', 'adventure', 'biography']"
Passengers,"title: Passengers ,Description: A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Morten Tyldum,2016,"['jennifer lawrence', ' chris pratt', ' michael sheen', 'laurence fishburne']","['adventure', 'drama', 'romance']"
Fantastic Beasts and Where to Find Them,"title: Fantastic Beasts and Where to Find Them ,Description: The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",David Yates,2016,"['eddie redmayne', ' katherine waterston', ' alison sudol', 'dan fogler']","['adventure', 'family', 'fantasy']"
Hidden Figures,"title: Hidden Figures ,Description: The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",Theodore Melfi,2016,"['taraji p. henson', ' octavia spencer', ' janelle monáe', 'kevin costner']","['biography', 'drama', 'history']"
Rogue One,"title: Rogue One ,Description: The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,2016,"['felicity jones', ' diego luna', ' alan tudyk', ' donnie yen']","['action', 'adventure', 'sci-fi']"
Moana,"title: Moana ,Description: In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,2016,"['aulii cravalho', ' dwayne johnson', ' rachel house', ' temuera morrison']","['animation', 'adventure', 'comedy']"
Colossal,"title: Colossal ,Description: Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,2016,"['anne hathaway', ' jason sudeikis', ' austin stowell', 'tim blake nelson']","['action', 'comedy', 'drama']"
The Secret Life of Pets,"title: The Secret Life of Pets ,Description: The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Chris Renaud,2016,"['louis c.k.', ' eric stonestreet', ' kevin hart', ' lake bell']","['animation', 'adventure', 'comedy']"
Hacksaw Ridge,"title: Hacksaw Ridge ,Description: WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,2016,"['andrew garfield', ' sam worthington', ' luke bracey', 'teresa palmer']","['biography', 'drama', 'history']"
Jason Bourne,"title: Jason Bourne ,Description: The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.",Paul Greengrass,2016,"['matt damon', ' tommy lee jones', ' alicia vikander', 'vincent cassel']","['action', 'thriller']"
Lion,"title: Lion ,Description: A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",Garth Davis,2016,"['dev patel', ' nicole kidman', ' rooney mara', ' sunny pawar']","['biography', 'drama']"
