title,description,class
Guardians of the Galaxy,"description: A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.; categories: Action,Adventure,Sci-Fi",Pelicula
Prometheus,"description: Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.; categories: Adventure,Mystery,Sci-Fi",Pelicula
Split,"description: Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.; categories: Horror,Thriller",Pelicula
Sing,"description: In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.; categories: Animation,Comedy,Family",Pelicula
Suicide Squad,"description: A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.; categories: Action,Adventure,Fantasy",Pelicula
The Great Wall,"description: European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.; categories: Action,Adventure,Fantasy",Pelicula
La La Land,"description: A jazz pianist falls for an aspiring actress in Los Angeles.; categories: Comedy,Drama,Music",Pelicula
Mindhorn,"description: A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.; categories: Comedy",Pelicula
The Lost City of Z,"description: A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.; categories: Action,Adventure,Biography",Pelicula
Passengers,"description: A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.; categories: Adventure,Drama,Romance",Pelicula
Fantastic Beasts and Where to Find Them,"description: The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.; categories: Adventure,Family,Fantasy",Pelicula
Hidden Figures,"description: The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.; categories: Biography,Drama,History",Pelicula
Rogue One,"description: The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.; categories: Action,Adventure,Sci-Fi",Pelicula
Moana,"description: In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.; categories: Animation,Adventure,Comedy",Pelicula
Colossal,"description: Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.; categories: Action,Comedy,Drama",Pelicula
The Secret Life of Pets,"description: The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.; categories: Animation,Adventure,Comedy",Pelicula
Hacksaw Ridge,"description: WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.; categories: Biography,Drama,History",Pelicula
Jason Bourne,"description: The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.; categories: Action,Thriller",Pelicula
Lion,"description: A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.; categories: Biography,Drama",Pelicula
Arrival,"description: When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.; categories: Drama,Mystery,Sci-Fi",Pelicula
Gold,"description: Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.; categories: Adventure,Drama,Thriller",Pelicula
Manchester by the Sea,description: A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.; categories: Drama,Pelicula
Hounds of Love,"description: A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.; categories: Crime,Drama,Horror",Pelicula
Trolls,"description: After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.; categories: Animation,Adventure,Comedy",Pelicula
Independence Day: Resurgence,"description: Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?; categories: Action,Adventure,Sci-Fi",Pelicula
