clase,frase
0,"No sé, me siento un poco nostálgico hoy."
0,"Todo parece tan gris, como si algo faltara."
0,"No tengo ganas de hacer nada, estoy algo decaído."
0,Echo de menos esos tiempos felices que ya no volverán.
0,"Me invade una sensación de tristeza, sin motivo aparente."
0,"Me siento un poco perdido hoy, como si algo faltara."
0,Es uno de esos días donde la tristeza aparece sin razón.
0,"No encuentro motivación para hacer nada, me siento vacío."
0,Mi mente está llena de recuerdos tristes.
0,Siento que estoy atrapado en un ciclo de nostalgia.
0,Me invade una tristeza que no puedo explicar.
0,"Hoy siento un vacío en el pecho, sin saber por qué."
0,"El día está apagado, como mi estado de ánimo."
0,No logro deshacerme de este sentimiento de pesadumbre.
0,Es como si el tiempo hubiera detenido toda alegría.
0,"No encuentro consuelo en nada, todo parece sombrío."
0,"Estoy decaído, como si no hubiera razón para ser feliz."
0,Mis pensamientos están envueltos en una bruma de tristeza.
0,Hoy siento un peso en el corazón que no puedo soltar.
0,"Todo parece distante, como si estuviera desconectado."
0,Mi alma está llena de añoranza por lo que no tengo.
0,"Siento que nada me anima, estoy sumido en una profunda melancolía."
0,"Mis pensamientos están pesados, todo parece sombrío."
0,Me siento atrapado en un estado de tristeza continua.
0,La vida parece haber perdido su color hoy.
1,"Estoy tranquilo, sin nada que me afecte."
1,"No siento emoción por lo que está pasando, todo es normal."
1,Hoy no hay mucho de qué alegrarse ni entristecerse.
1,"Estoy en piloto automático, nada me sorprende."
1,El día ha pasado sin grandes eventos ni emociones.
1,"No sé, simplemente me siento neutral."
1,"No siento alegría ni tristeza, simplemente estoy."
1,"Todo está bien, pero nada me emociona especialmente."
1,"Hoy ha sido un día sin altibajos, simplemente normal."
1,"Nada me molesta, pero tampoco nada me entusiasma."
1,"Estoy en un punto medio, no hay mucho que decir sobre cómo me siento."
1,"Hoy ha sido un día igual que los demás, sin emociones fuertes."
1,No tengo ningún sentimiento en particular.
1,Me siento bastante indiferente hacia lo que pasa.
1,"Todo sigue igual, ni bien ni mal."
1,Me encuentro en un estado de tranquilidad sin mucha emoción.
1,"No siento mucho entusiasmo ni desgano, solo estoy."
1,"Nada me preocupa hoy, pero tampoco estoy emocionado por nada."
1,"El día es simplemente uno más, sin sorpresas."
1,"Estoy en un estado neutro, ni triste ni alegre."
1,"Hoy fue un día más, nada especial."
1,"No siento ni mucha emoción ni tristeza, todo está normal."
1,"Estoy neutral, no me afecta demasiado lo que sucede."
1,"Es solo otro día como cualquier otro, sin nada destacable."
1,"Me siento bastante indiferente, ni bien ni mal."
2,"Hoy es un día espectacular, ¡me siento increíble!"
2,Estoy muy emocionado por todo lo que está pasando.
2,¡Qué felicidad! Todo está saliendo a la perfección.
2,"No puedo dejar de sonreír, ¡estoy tan contento!"
2,Me siento lleno de energía y entusiasmo.
2,Estoy tan contento que podría volar.
2,"Todo me sale bien hoy, ¡qué alegría!"
2,Me siento afortunado de tener un día tan bueno.
2,¡Es un gran día! Me siento lleno de vida.
2,"Qué buen humor tengo, nada me molesta."
2,Me siento entusiasmado por todo lo que está por venir.
2,¡Todo es perfecto hoy!
2,Me levante de buen humor y todo sigue igual de bien.
2,Estoy lleno de optimismo y energía.
2,Hoy todo me hace sonreír.
2,¡Qué bien se siente cuando todo sale como quieres!
2,Siento una felicidad indescriptible.
2,Me encanta cómo está saliendo el día.
2,"Todo parece estar de mi lado, ¡me siento increíble!"
2,Hoy estoy disfrutando cada momento.
2,¡Todo es tan positivo hoy!
2,Me siento afortunado de tener un día tan bueno.
2,¡Qué bien se siente estar tan alegre!
2,"Todo está yendo a la perfección, ¡me siento fenomenal!"
2,Estoy muy agradecido por todo lo bueno que me pasa.
